"Riga Excel";"FONDO";"Comune";"Provincia";"Indirizzo";"Destinazione";"Sup. lorda (mq)";"Asking price file";"Prezzo file (col. K)";"VALORE RIVENDITA";"Metodo";"Affidabilita";"EUR/mq applicato";"EUR/mq min OMI";"EUR/mq max OMI";"Zona OMI";"Descrizione zona OMI";"Semestre OMI";"Tipologia OMI";"Stato conservativo";"Fonte";"URL fonte";"Data fonte";"Motivazione";"Avvisi"
"65";"FAB III";"Firenze";"FI";"Via Del Ferrone, n.c. 8/A";"Residenziale";"7960";"1250000";;;"omi-incoerente";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";"3600";"3000";"4200";"C17";"MARIGNOLLE - MONTE OLIVETO - LE CAMPORA";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?D612/FI00012054/20252/R/C17/0/0";"2025-2";"Superficie e prezzo del file sono incoerenti fra loro: il prezzo richiesto (1250000 EUR su 7960 mq) implica 157 EUR/mq, pari al 5% del minimo OMI di zona (3000 EUR/mq). La superficie indicata non e' compatibile con la superficie commerciale di un fabbricato: e' verosimilmente l'area del lotto o l'aggregato di piu' unita. Applicare il valore OMI al mq a questa superficie produrrebbe 28.656.000 EUR, valore non attendibile. Quotazione OMI del comune di Firenze, zona C17 (MARIGNOLLE - MONTE OLIVETO - LE CAMPORA), fascia C, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 3000-4200 EUR/mq su superficie lorda. Valore centrale 3600 EUR/mq x 7960 mq lordi.";"Superficie molto elevata (7960 mq): probabile lotto cumulativo di piu unita, la quotazione unitaria di zona puo non essere rappresentativa. | Serve la superficie commerciale reale, oppure una stima da comparabili sull immobile specifico."
"66";"FAB III";"Montespertoli";"FI";"Via Teddeino Taddeini, n.c. 65";"Residenziale";"195";"210000";;"346125";"omi";"MEDIA";"1775";"1450";"2100";"R1";"RESTO DEL TERRITORIO";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?F648/FI00001199/20252/R/R1/0/0";"2025-2";"Quotazione OMI del comune di Montespertoli, zona R1 (RESTO DEL TERRITORIO), fascia R, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 1450-2100 EUR/mq su superficie lorda. Valore centrale 1775 EUR/mq x 195 mq lordi.";"Immobile occupato: lo stato occupazionale riduce il prezzo realizzabile e allunga i tempi; la quotazione OMI si riferisce a immobile libero."
"67";"FAB III";"Amaseno";"FR";"Via Roma";"Residenziale";"138";"35000";;"66930";"omi";"ALTA";"485";"390";"580";"B1";"P.ANNUNZIATA,CIRCONV.NE,V.ROMA,V.INDIPEND.ZA,V.NAZIONALE,V.RISORGIMENTO,V.CASTELLO,VL.S.ROCCO,P.11FEBBRAIO,V.CAVOUR";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?A256/FR00000082/20252/R/B1/0/0";"2025-2";"Quotazione OMI del comune di Amaseno, zona B1 (P.ANNUNZIATA,CIRCONV.NE,V.ROMA,V.INDIPEND.ZA,V.NAZIONALE,V.RISORGIMENTO,V.CASTELLO,VL.S.ROCCO,P.11FEBBRAIO,V.CAVOUR), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 390-580 EUR/mq su superficie lorda. Valore centrale 485 EUR/mq x 138 mq lordi.";""
"68";"FAB III";"Fontana Liri";"FR";"Corso Trieste";"Residenziale";"246";"120000";;"89175";"omi";"ALTA";"362,5";"310";"415";"B1";"V.POLA,V.FIUME,V.FARNITO.P.TRENTO,C.TRIESTE,V.ROMA,V.DELLE TERME";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?D667/FR00000222/20252/R/B1/0/0";"2025-2";"Quotazione OMI del comune di Fontana Liri, zona B1 (V.POLA,V.FIUME,V.FARNITO.P.TRENTO,C.TRIESTE,V.ROMA,V.DELLE TERME), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 310-415 EUR/mq su superficie lorda. Valore centrale 362 EUR/mq x 246 mq lordi.";""
"69";"FAB III";"Villa Latina";"FR";"";"Terreni agricoli";"9103";"30000";;;"nessuno";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";;;;"B1";"VILLAGGIO PESCHIERA, VIA ROMA";"2025-2";"";"";"";"";"";"L'OMI non pubblica quotazioni per questa destinazione (Terreni agricoli): terreni, immobili 'Altro' e ricettivi non rientrano nelle quattro destinazioni OMI (Residenziale, Commerciale, Terziaria, Produttiva).";"Serve una stima da comparabili di mercato o da fonte specifica per la tipologia."
"70";"FAB III";"Grado";"GO";"P.zza V. Carpaccio 24";"Commerciale";"45";"60000";;"124875";"omi";"MEDIA";"2775";"2250";"3300";"B2";"CENTRO STORICO - PORTO - VIALE EUROPA UNITA - VIALE REGINA ELENA - VIALE DANTE - LARGO SAN GRISOGONO";"2025-2";"Negozi";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?E125/GO00000679/20252/C/B2/0/0";"2025-2";"Quotazione OMI del comune di Grado, zona B2 (CENTRO STORICO - PORTO - VIALE EUROPA UNITA - VIALE REGINA ELENA - VIALE DANTE - LARGO SAN GRISOGONO), fascia B, destinazione Commerciale, tipologia 'Negozi', stato conservativo 'NORMALE' (normale): 2250-3300 EUR/mq su superficie lorda. Valore centrale 2775 EUR/mq x 45 mq lordi.";"Immobile occupato: lo stato occupazionale riduce il prezzo realizzabile e allunga i tempi; la quotazione OMI si riferisce a immobile libero. | Il prezzo richiesto implica 1333 EUR/mq, pari al 59% del minimo OMI di zona: verificare la superficie commerciale e lo stato dell'immobile."
"71";"FAB III";"Lecco";"LC";"Via Torri Tarelli, 29";"Altro";"103";"95000";;;"nessuno";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";;;;"B2";"CENTRO 2  L. LARIO BATTISTI - VIA C. PORTA - PIAZZA MANZONI";"2025-2";"";"";"";"";"";"L'OMI non pubblica quotazioni per questa destinazione (Altro): terreni, immobili 'Altro' e ricettivi non rientrano nelle quattro destinazioni OMI (Residenziale, Commerciale, Terziaria, Produttiva).";"Serve una stima da comparabili di mercato o da fonte specifica per la tipologia."
"72";"FAB III";"Montecarlo";"LU";"via Prov. Di Montecarlo 129";"Residenziale";"1020";"250000";;;"omi-incoerente";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";"1250";"1000";"1500";"B1";"CENTRO STORICO E AREA DI COLLINA - S. GIUSEPPE - CONTEA - POGGIO BALDINO,FORNACE,CORTE PANATTONCELLI";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?F452/LU00000098/20252/R/B1/0/0";"2025-2";"Superficie e prezzo del file sono incoerenti fra loro: il prezzo richiesto (250000 EUR su 1020 mq) implica 245 EUR/mq, pari al 25% del minimo OMI di zona (1000 EUR/mq). La superficie indicata non e' compatibile con la superficie commerciale di un fabbricato: e' verosimilmente l'area del lotto o l'aggregato di piu' unita. Applicare il valore OMI al mq a questa superficie produrrebbe 1.275.000 EUR, valore non attendibile. Quotazione OMI del comune di Montecarlo, zona B1 (CENTRO STORICO E AREA DI COLLINA - S. GIUSEPPE - CONTEA - POGGIO BALDINO,FORNACE,CORTE PANATTONCELLI), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 1000-1500 EUR/mq su superficie lorda. Valore centrale 1250 EUR/mq x 1020 mq lordi.";"Immobile occupato: lo stato occupazionale riduce il prezzo realizzabile e allunga i tempi; la quotazione OMI si riferisce a immobile libero. | Serve la superficie commerciale reale, oppure una stima da comparabili sull immobile specifico."
"73";"FAB III";"Santo Stefano di Camastra";"ME";"Contrada Torrazza";"Commerciale";"344";"200000";;"200000";"comparabili";"MEDIA";"581,4";;;"B1";"CENTRO URBANO, C.DA CARCARELLA, C.DA CHIUSA";"2025-2";"";"";"Immobiliare.it - annuncio di vendita dello stesso immobile, pubblicato da iQera Italia SPA";"https://www.immobiliare.it/annunci/132268412/";"2026-09-09";"Lo stesso immobile risulta pubblicato in vendita: prezzo richiesto sul mercato 200.000 EUR. E' il riferimento piu diretto possibile per il valore di rivendita, perche non e' una media di zona ma il prezzo a cui questo specifico immobile e' offerto al pubblico.";"Il valore e un prezzo RICHIESTO, non un prezzo di vendita concluso: il realizzo effettivo sara di norma inferiore per effetto della trattativa. | Superficie annuncio 318 mq contro 344 mq del file: stesso indirizzo e stesso venditore."
"74";"FAB III";"Venetico";"ME";"Via Siracusano 98";"Altro";"191";"40000";;;"nessuno";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";;;;"B2";"CENTRO ABITATO-ZONA BALNEARE";"2025-2";"";"";"";"";"";"L'OMI non pubblica quotazioni per questa destinazione (Altro): terreni, immobili 'Altro' e ricettivi non rientrano nelle quattro destinazioni OMI (Residenziale, Commerciale, Terziaria, Produttiva).";"Serve una stima da comparabili di mercato o da fonte specifica per la tipologia."
"75";"FAB III";"Bollate";"MI";"VIA PASCOLI/ Via Caduti Bollatesi, 24";"Commerciale";"613";"600000";;"934825";"omi";"ALTA";"1525";"1250";"1800";"B1";"CENTRO URBANO";"2025-2";"Negozi";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?A940/MI00004456/20252/C/B1/0/0";"2025-2";"Quotazione OMI del comune di Bollate, zona B1 (CENTRO URBANO), fascia B, destinazione Commerciale, tipologia 'Negozi', stato conservativo 'NORMALE' (normale): 1250-1800 EUR/mq su superficie lorda. Valore centrale 1525 EUR/mq x 613 mq lordi.";""
"76";"FAB III";"Desio";"MI";"Via Nuova Valassina 72";"Terreni agricoli";"6500";"220000";;"250000";"comparabili";"ALTA";"38,46";;;"D1";"SAN GIUSEPPE, NUOVA VALASSINA, SABOTINO, CARAVAGGIO";"2025-2";"";"";"Immobiliare.it - annuncio di vendita dello stesso immobile, pubblicato da iQera Italia SPA";"https://www.immobiliare.it/annunci/97376632/";"2026-09-09";"Lo stesso immobile risulta pubblicato in vendita: prezzo richiesto sul mercato 250.000 EUR. E' il riferimento piu diretto possibile per il valore di rivendita, perche non e' una media di zona ma il prezzo a cui questo specifico immobile e' offerto al pubblico.";"Il valore e un prezzo RICHIESTO, non un prezzo di vendita concluso: il realizzo effettivo sara di norma inferiore per effetto della trattativa."
"77";"FAB III";"Garbagnate Milanese";"MI";"VIALE KENNEDY 15";"Commerciale";"215";"110000";;"145000";"comparabili";"ALTA";"674,42";;;"D1";"I MAGGIO, BARIANA, ENRICO FERMI";"2025-2";"";"";"Immobiliare.it - annuncio di vendita dello stesso immobile, pubblicato da iQera Italia SPA";"https://www.immobiliare.it/annunci/97331908/";"2026-09-09";"Lo stesso immobile risulta pubblicato in vendita: prezzo richiesto sul mercato 145.000 EUR. E' il riferimento piu diretto possibile per il valore di rivendita, perche non e' una media di zona ma il prezzo a cui questo specifico immobile e' offerto al pubblico.";"Il valore e un prezzo RICHIESTO, non un prezzo di vendita concluso: il realizzo effettivo sara di norma inferiore per effetto della trattativa."
"78";"FAB III";"Milano";"MI";"Via Durando 38";"Uffici";"2071,07";"5000000";;"4349247";"omi";"ALTA";"2100";"1600";"2600";"D31";"BOVISA, BAUSAN, IMBONATI";"2025-2";"Uffici";"OTTIMO";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?F205/MI00004778/20252/T/D31/0/0";"2025-2";"Quotazione OMI del comune di Milano, zona D31 (BOVISA, BAUSAN, IMBONATI), fascia D, destinazione Terziaria, tipologia 'Uffici', stato conservativo 'OTTIMO' (prevalente di zona): 1600-2600 EUR/mq su superficie lorda. Valore centrale 2100 EUR/mq x 2071.07 mq lordi.";"Stato conservativo 'normale' non pubblicato per questa tipologia: usato 'OTTIMO'."
"79";"FAB III";"Milano";"MI";"VIA F RISMONDO 9";"Altro";"108";"64000";;;"nessuno";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";;;;"E5";"BAGGIO, Q. ROMANO, MUGGIANO";"2025-2";"";"";"";"";"";"L'OMI non pubblica quotazioni per questa destinazione (Altro): terreni, immobili 'Altro' e ricettivi non rientrano nelle quattro destinazioni OMI (Residenziale, Commerciale, Terziaria, Produttiva).";"Serve una stima da comparabili di mercato o da fonte specifica per la tipologia."
"80";"FAB III";"Monza";"MI";"VIA CAVALLOTTI 45";"Uffici";"515";"630000";;"1133000";"omi";"ALTA";"2200";"1900";"2500";"B1";"C. BATTISTI, BOCCACCIO, MONTECASSINO, MAGELLANO, FERROVIA, BERGAMO, RANDACCIO, D`AZEGLIO, BIANCHI, EDISON, VILLORESI -";"2025-2";"Uffici";"OTTIMO";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?F704/MI00001469/20252/T/B1/0/0";"2025-2";"Quotazione OMI del comune di Monza, zona B1 (C. BATTISTI, BOCCACCIO, MONTECASSINO, MAGELLANO, FERROVIA, BERGAMO, RANDACCIO, D`AZEGLIO, BIANCHI, EDISON, VILLORESI -), fascia B, destinazione Terziaria, tipologia 'Uffici', stato conservativo 'OTTIMO' (prevalente di zona): 1900-2500 EUR/mq su superficie lorda. Valore centrale 2200 EUR/mq x 515 mq lordi.";"Stato conservativo 'normale' non pubblicato per questa tipologia: usato 'OTTIMO'."
"81";"FAB III";"Muggio'";"MI";"via Lodi 1 ang. Via Milano";"Commerciale";"300";"420000";;"352500";"omi";"ALTA";"1175";"950";"1400";"D1";"PERIFERIA";"2025-2";"Negozi";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?F797/MI00002598/20252/C/D1/0/0";"2025-2";"Quotazione OMI del comune di Muggio', zona D1 (PERIFERIA), fascia D, destinazione Commerciale, tipologia 'Negozi', stato conservativo 'NORMALE' (normale): 950-1400 EUR/mq su superficie lorda. Valore centrale 1175 EUR/mq x 300 mq lordi.";"Immobile locato: lo stato occupazionale riduce il prezzo realizzabile e allunga i tempi; la quotazione OMI si riferisce a immobile libero."
"82";"FAB III";"Nova Milanese";"MI";"Via Saragat, 4";"Commerciale";"1442";"1700000";;"1946700";"omi";"ALTA";"1350";"900";"1800";"D1";"PERIFERIA";"2025-2";"Negozi";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?F944/MI00004386/20252/C/D1/0/0";"2025-2";"Quotazione OMI del comune di Nova Milanese, zona D1 (PERIFERIA), fascia D, destinazione Commerciale, tipologia 'Negozi', stato conservativo 'NORMALE' (normale): 900-1800 EUR/mq su superficie lorda. Valore centrale 1350 EUR/mq x 1442 mq lordi.";""
"83";"FAB III";"Seregno";"MI";"Galleria Kennedy 10";"Commerciale";"90";"165000";;"148500";"omi";"MEDIA";"1650";"1300";"2000";"B2";"STOPPANI, CIRCONVALLAZIONE, FERROVIA, BEATO ANGELICO";"2025-2";"Negozi";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?I625/MI00011496/20252/C/B2/0/0";"2025-2";"Quotazione OMI del comune di Seregno, zona B2 (STOPPANI, CIRCONVALLAZIONE, FERROVIA, BEATO ANGELICO), fascia B, destinazione Commerciale, tipologia 'Negozi', stato conservativo 'NORMALE' (normale): 1300-2000 EUR/mq su superficie lorda. Valore centrale 1650 EUR/mq x 90 mq lordi.";""
"84";"FAB III";"Camposanto";"MO";"Via E Fermi terreno";"Terreni agricoli";"904";"90000";;;"nessuno";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";;;;"B2";"CAPOLUOGO - CENTRO URBANO";"2025-2";"";"";"";"";"";"L'OMI non pubblica quotazioni per questa destinazione (Terreni agricoli): terreni, immobili 'Altro' e ricettivi non rientrano nelle quattro destinazioni OMI (Residenziale, Commerciale, Terziaria, Produttiva).";"Serve una stima da comparabili di mercato o da fonte specifica per la tipologia."
"85";"FAB III";"Camposanto";"MO";"Via E. Fermi A";"Residenziale";"1271";"530000";;"1239225";"omi";"MEDIA";"975";"800";"1150";"B2";"CAPOLUOGO - CENTRO URBANO";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?B566/MO00002494/20252/R/B2/0/0";"2025-2";"Quotazione OMI del comune di Camposanto, zona B2 (CAPOLUOGO - CENTRO URBANO), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 800-1150 EUR/mq su superficie lorda. Valore centrale 975 EUR/mq x 1271 mq lordi.";"Il prezzo richiesto implica 417 EUR/mq, pari al 52% del minimo OMI di zona: verificare la superficie commerciale e lo stato dell'immobile."
"86";"FAB III";"Camposanto";"MO";"Via E. Fermi B";"Residenziale";"726";"325000";;"707850";"omi";"MEDIA";"975";"800";"1150";"B2";"CAPOLUOGO - CENTRO URBANO";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?B566/MO00002494/20252/R/B2/0/0";"2025-2";"Quotazione OMI del comune di Camposanto, zona B2 (CAPOLUOGO - CENTRO URBANO), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 800-1150 EUR/mq su superficie lorda. Valore centrale 975 EUR/mq x 726 mq lordi.";"Il prezzo richiesto implica 448 EUR/mq, pari al 56% del minimo OMI di zona: verificare la superficie commerciale e lo stato dell'immobile."
"87";"FAB III";"Camposanto";"MO";"Via Marconi";"Terreni agricoli";"988";"110000";;;"nessuno";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";;;;"B2";"CAPOLUOGO - CENTRO URBANO";"2025-2";"";"";"";"";"";"L'OMI non pubblica quotazioni per questa destinazione (Terreni agricoli): terreni, immobili 'Altro' e ricettivi non rientrano nelle quattro destinazioni OMI (Residenziale, Commerciale, Terziaria, Produttiva).";"Serve una stima da comparabili di mercato o da fonte specifica per la tipologia."
"88";"FAB III";"Camposanto";"MO";"Via XXV Aprile";"Residenziale";"399";"115000";;"389025";"omi";"MEDIA";"975";"800";"1150";"B2";"CAPOLUOGO - CENTRO URBANO";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?B566/MO00002494/20252/R/B2/0/0";"2025-2";"Quotazione OMI del comune di Camposanto, zona B2 (CAPOLUOGO - CENTRO URBANO), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 800-1150 EUR/mq su superficie lorda. Valore centrale 975 EUR/mq x 399 mq lordi.";"Il prezzo richiesto implica 288 EUR/mq, pari al 36% del minimo OMI di zona: verificare la superficie commerciale e lo stato dell'immobile."
"89";"FAB III";"Castelnuovo Rangone";"MO";"Via Boni 15";"Residenziale";"2499";"1450000";;"4748100";"omi";"MEDIA";"1900";"1550";"2250";"E4";"FRAZIONE DI MONTALE";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?C242/MO00002737/20252/R/E4/0/0";"2025-2";"Quotazione OMI del comune di Castelnuovo Rangone, zona E4 (FRAZIONE DI MONTALE), fascia E, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 1550-2250 EUR/mq su superficie lorda. Valore centrale 1900 EUR/mq x 2499 mq lordi.";"Il prezzo richiesto implica 580 EUR/mq, pari al 37% del minimo OMI di zona: verificare la superficie commerciale e lo stato dell'immobile."
"90";"FAB III";"Concordia Sulla Secchia";"MO";"Via Buffagni 2";"Residenziale";"670";"280000";;"569500";"omi";"MEDIA";"850";"700";"1000";"B3";"CAPOLUOGO - CENTRO URBANO";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?C951/MO00009896/20252/R/B3/0/0";"2025-2";"Quotazione OMI del comune di Concordia Sulla Secchia, zona B3 (CAPOLUOGO - CENTRO URBANO), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 700-1000 EUR/mq su superficie lorda. Valore centrale 850 EUR/mq x 670 mq lordi.";"Immobile occupato: lo stato occupazionale riduce il prezzo realizzabile e allunga i tempi; la quotazione OMI si riferisce a immobile libero. | Il prezzo richiesto implica 418 EUR/mq, pari al 60% del minimo OMI di zona: verificare la superficie commerciale e lo stato dell'immobile."
"91";"FAB III";"Concordia sulla Secchia";"MO";"Via Pederzoli";"Residenziale";"1039";"325000";;"883150";"omi";"MEDIA";"850";"700";"1000";"B3";"CAPOLUOGO - CENTRO URBANO";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?C951/MO00009896/20252/R/B3/0/0";"2025-2";"Quotazione OMI del comune di Concordia sulla Secchia, zona B3 (CAPOLUOGO - CENTRO URBANO), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 700-1000 EUR/mq su superficie lorda. Valore centrale 850 EUR/mq x 1039 mq lordi.";"Immobile occupato: lo stato occupazionale riduce il prezzo realizzabile e allunga i tempi; la quotazione OMI si riferisce a immobile libero. | Il prezzo richiesto implica 313 EUR/mq, pari al 45% del minimo OMI di zona: verificare la superficie commerciale e lo stato dell'immobile."
"92";"FAB III";"Modena";"MO";"Via Fossa Monda nord 240 int 3";"Residenziale";"15317";"1100000";"650000";"650000";"file";"DATO DA FILE";"42,44";;;"R3";"ZONA AGRICOLA";"2025-2";"";"";"Colonna ""a quanto si vende info 09/2026"" del file Excel";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?F257/MO00002936/20252/R/R3/0/0";"2026-09";"Valore di rivendita gia indicato nel file: mantenuto invariato, non ricalcolato.";""
"93";"FAB III";"San Felice sul Panaro";"MO";"Via Dogaro";"Residenziale";"2943,4";"45000";;;"omi-incoerente";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";"775";"650";"900";"R1";"ZONA AGRICOLA";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?H835/MO00002851/20252/R/R1/0/0";"2025-2";"Superficie e prezzo del file sono incoerenti fra loro: il prezzo richiesto (45000 EUR su 2943.4 mq) implica 15 EUR/mq, pari al 2% del minimo OMI di zona (650 EUR/mq). La superficie indicata non e' compatibile con la superficie commerciale di un fabbricato: e' verosimilmente l'area del lotto o l'aggregato di piu' unita. Applicare il valore OMI al mq a questa superficie produrrebbe 2.281.135 EUR, valore non attendibile. Quotazione OMI del comune di San Felice sul Panaro, zona R1 (ZONA AGRICOLA), fascia R, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 650-900 EUR/mq su superficie lorda. Valore centrale 775 EUR/mq x 2943.4 mq lordi.";"Serve la superficie commerciale reale, oppure una stima da comparabili sull immobile specifico."
"94";"FAB III";"San Prospero";"MO";"Via Bertelli";"Residenziale";"1644";"470000";;"1808400";"omi";"MEDIA";"1100";"900";"1300";"B2";"CAPOLUOGO - CENTRO URBANO";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?I133/MO00002672/20252/R/B2/0/0";"2025-2";"Quotazione OMI del comune di San Prospero, zona B2 (CAPOLUOGO - CENTRO URBANO), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 900-1300 EUR/mq su superficie lorda. Valore centrale 1100 EUR/mq x 1644 mq lordi.";"Il prezzo richiesto implica 286 EUR/mq, pari al 32% del minimo OMI di zona: verificare la superficie commerciale e lo stato dell'immobile."
"95";"FAB III";"Sassuolo";"MO";"Via Boito 87 /Via Cilea 7";"Residenziale";"565";"940000";"550000";"550000";"file";"DATO DA FILE";"973,45";;;"B2";"CAPOLUOGO - CENTRO URBANO";"2025-2";"";"";"Colonna ""a quanto si vende info 09/2026"" del file Excel";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?I462/MO00002869/20252/R/B2/0/0";"2026-09";"Valore di rivendita gia indicato nel file: mantenuto invariato, non ricalcolato.";""
"96";"FAB III";"Sassuolo";"MO";"VIA VESPUCCI 12";"Uffici";"101";"125000";;"95950";"omi";"MEDIA";"950";"700";"1200";"B2";"CAPOLUOGO - CENTRO URBANO";"2025-2";"Uffici";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?I462/MO00002869/20252/T/B2/0/0";"2025-2";"Quotazione OMI del comune di Sassuolo, zona B2 (CAPOLUOGO - CENTRO URBANO), fascia B, destinazione Terziaria, tipologia 'Uffici', stato conservativo 'NORMALE' (normale): 700-1200 EUR/mq su superficie lorda. Valore centrale 950 EUR/mq x 101 mq lordi.";""
